,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att.1,Yds.1,Tgt,Rec,Yds.2,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
136,Chuck Foreman,MIN,RB,26.0,14.0,14.0,0.0,0.0,0.0,0.0,278.0,1155.0,,55.0,567.0,10.31,7.0,0.0,0.0,0.0,0.0,1155.0,13.0,278.0,567.0,1.0,297.2
137,Curtis Martin,NYJ,RB,28.0,16.0,16.0,1.0,1.0,18.0,0.0,333.0,1513.0,63.0,53.0,320.0,6.04,2.0,2.0,18.0,1.0,1.0,1513.0,10.0,333.0,320.0,0.0,297.02
138,Knowshon Moreno,DEN,RB,26.0,16.0,15.0,0.0,0.0,0.0,0.0,241.0,1038.0,74.0,60.0,548.0,9.13,2.0,0.0,0.0,0.0,0.0,1038.0,10.0,241.0,548.0,3.0,296.6
139,LeSean McCoy,BUF,RB,28.0,15.0,15.0,0.0,0.0,0.0,0.0,234.0,1267.0,57.0,50.0,356.0,7.12,3.0,0.0,0.0,0.0,0.0,1267.0,13.0,234.0,356.0,1.0,296.3
140,Kareem Hunt,KAN,RB,22.0,16.0,16.0,0.0,0.0,0.0,0.0,272.0,1327.0,63.0,53.0,455.0,8.58,1.0,1.0,0.0,0.0,0.0,1327.0,8.0,272.0,455.0,3.0,295.2
141,Peyton Hillis,CLE,RB,24.0,16.0,14.0,1.0,2.0,13.0,0.0,270.0,1177.0,77.0,61.0,477.0,7.82,8.0,5.0,13.0,0.0,2.0,1177.0,11.0,270.0,477.0,2.0,294.92
142,Derrick Henry,TEN,RB,25.0,15.0,15.0,0.0,0.0,0.0,0.0,303.0,1540.0,24.0,18.0,206.0,11.44,5.0,3.0,0.0,0.0,0.0,1540.0,16.0,303.0,206.0,2.0,294.6
143,Marshall Faulk,IND,RB,21.0,16.0,16.0,0.0,0.0,0.0,0.0,314.0,1282.0,74.0,52.0,522.0,10.04,5.0,5.0,0.0,0.0,0.0,1282.0,11.0,314.0,522.0,1.0,294.4
144,DeMarco Murray,TEN,RB,28.0,16.0,16.0,1.0,2.0,10.0,0.0,293.0,1287.0,67.0,53.0,377.0,7.11,3.0,1.0,10.0,1.0,2.0,1287.0,9.0,293.0,377.0,3.0,293.7999999999999
145,Chuck Muncie,SDG,RB,28.0,15.0,14.0,1.0,1.0,3.0,0.0,251.0,1144.0,,43.0,362.0,8.42,9.0,0.0,3.0,1.0,1.0,1144.0,19.0,251.0,362.0,0.0,293.72
